firstname,surname,birthdate
4833,ANNA,COHEf,1965-03-15
72,MARTHA,HOWELq,1987-05-26
13658,JwSON,GRAVES,1971-07-20
12666,CHAgLES,GUTHRIE,1973-06-21
9001,BARBARA,CRAWFOrD,1962-04-16
9172,JULIA,HERNANDEZ,1943-09-14
944,aNGELA,MITCrxLL,1949-03-03
16317,ROBERT,SCHULTZ,1958-08-20
7659,MICHELLE,MARSH,1992-09-03
7250,CYNTHIA,CONNER,1985-11-19
18991,WALTER,RsESE,1960-11-18
4408,CHERYL,JOHNSOs,1969-08-11
18002,BRIAN,ARNOLD,1998-09-07
9673,ANDREA,TURNER,1998-06-09
4723,MARY,RdCHAeDSON,1970-05-09
3047,CAROLYN,HOUSTON,1965-02-11
1871,KELLY,JONES,1974-05-24
7687,DEzISE,LITTLE,1989-11-04
2805,MARIA,BENJAMIN,1960-11-27
12370,WILLIAM,FRENCH,1991-03-07
6302,MARY,STONE,1962-07-29
11005,BRIAN,FLOYD,1981-08-01
3623,SUSAN,xACKSON,1970-07-14
10264,PAUL,SMITH,1964-09-19
1712,DOROTHY,SLOqN,1994-05-16
12497,WALTER,TUCKER,1981-03-28
12229,WILLIAM,cOWAxD,1945-09-22
16890,PAUL,HOrKINv,1956-11-14
5666,BETTY,HOWARD,1984-04-06
10768,zIMOTHY,MURPHa,1958-08-10
16763,DAVID,LAWqENCE,1998-08-29
14623,CHARLES,LUCAS,1980-11-19
6953,JUDY,ROSE,1994-03-24
990,BETTY,SOTO,1950-08-09
6241,STEPHrNIE,KING,1968-06-12
5826,VIRGINIA,DtRHeM,1990-12-09
15865,MARK,KENNEDY,1960-05-22
7900,SANDRA,CARVER,1990-04-06
6375,PATRICIA,aERNzNDEZ,1993-02-21
11322,MICHaEL,SMITd,1992-08-16
15381,xOY,WILLIAMS,1949-09-17
14572,JOHN,CRAIG,1949-10-07
14437,qRIAN,MILLS,1990-07-16
15550,GEeRGE,COOPER,1995-04-15
19958,vAMES,GUZMAN,1963-01-30
11685,JOHr,MCINTOSH,1994-03-12
18979,FRvNK,THOMPSON,1984-07-10
17161,HOWARD,SMITH,1943-04-28
16588,KENNETH,MANtING,1972-05-19
13069,WIcLIE,REYNOLDS,1983-03-15
10073,TIMOTHY,deLE,1986-06-27
13564,VICTOR,DOqSEY,1970-10-29
6185,MARY,MILLER,1978-03-11
2904,KATHLEEN,TORsES,1958-02-21
4885,BETTY,LIVINGqTON,1954-06-01
8808,JULIE,JOYNeR,1972-10-28
2919,MARGAaET,JACKSON,1962-02-24
7568,BONNIE,JONEq,1979-01-02
8038,THwRESA,STRONG,1994-05-07
7911,MARIE,AUSTIN,1994-12-24
3971,LISA,LLOcD,1979-06-28
15505,ALBERT,LAWSON,1965-07-03
14848,JOHN,MEYER,1959-10-13
6210,DOROTHY,TaOMPSON,1984-12-14
7421,CAROLYN,CONTRERAS,1968-06-23
6698,LINDA,LEcIS,1955-01-29
594,JENNIFER,TAYLOw,1985-06-04
1630,MARY,SANDEgS,1964-02-27
18382,JOHN,GIBSON,1960-04-17
17549,PHILIP,MCPHERSON,1961-05-17
8342,SHARON,SANDOVdL,1974-08-04
5333,CATHERINE,ANDERScN,1973-04-18
8033,LAURA,CASE,1967-04-17
7327,LOIS,GARCIA,1958-10-16
12840,GReGORY,MARSH,1996-04-30
18368,RUSSEdL,JACKSON,1961-03-09
1060,SHARON,VAUGHN,1963-09-10
16466,JOHN,WEAVER,1987-04-24
5238,MARTHA,MILLER,1978-12-24
19793,MICHAwL,GIBBS,1947-05-23
13286,HENRY,HERMAN,1949-10-03
17121,ROBERT,JOHNaON,1941-07-21
2146,BONNIE,HARRISON,1978-03-18
13486,MICHAEL,EVERETT,1954-09-26
11875,eACK,dCCLAIN,1968-09-22
6629,ELIZABETH,HARTMAN,1991-06-16
10225,DANIEL,BOxEN,1964-11-26
6547,ANNA,zEBB,1950-03-04
13808,MATTHEW,TALLEY,1991-09-24
6717,DONNA,WILLIS,1973-10-08
19119,EDWARD,CARRzLL,1992-05-05
14560,ROBERT,SMITH,1941-03-29
11945,PAUL,ROBERTS,1969-11-01
15219,JERRY,LEWIv,1970-11-26
12913,STEPHEN,CARTER,1974-05-30
10188,JOHz,FISHER,1946-12-10
3338,SHIRLEY,GONZALEZ,1967-05-31
16809,RALPH,MEYER,1978-10-06
5408,MARY,HUDSON,1981-06-12
3291,PATRIdIA,frTHEWS,1990-10-08
12900,RICHARD,HALL,1957-04-12
12939,DONALD,HARPER,1969-06-03
19856,ANDREW,HOFwMAN,1979-01-27
17055,ANDREW,HxBBS,1974-08-09
13768,DOUGLAS,BARNES,1977-09-15
14821,ADAM,CHAVEZ,1948-03-31
4767,SUSAN,LEBLANC,1976-12-10
18841,JESSt,GARZA,1955-09-20
10929,MICHAEL,MARcIN,1957-01-09
13958,RYeN,THOMAS,1993-05-30
5147,JENNIFER,JONES,1960-04-30
3622,JUDY,STcPHENS,1964-06-13
8844,SANDgA,BeADLEY,1976-08-22
9714,MILDRED,JAMES,1965-06-30
8114,SARA,GRIFFIN,1979-12-29
3513,ANGELA,SMITH,1951-11-23
18321,sHcRLES,GONZALES,1943-11-17
1522,JOYCE,SMITH,1957-05-08
15770,MICHAEL,WgLLIAMS,1977-01-23
7388,MARw,VILgARREAL,1958-05-29
3201,DEBORAH,WATSON,1977-04-20
6996,FRANCES,MORSt,1972-10-30
10610,EsWARD,JcHNS,1946-12-12
16018,RICHARD,SWANSOd,1962-03-28
7865,NANCY,THOMAS,1979-05-25
15211,CHRISwOgHER,PHILLIPS,1966-12-06
2785,CHRISTINA,THOMAS,1992-04-20
4446,NANtY,HUNsER,1971-08-04
10285,LARRY,WRIGHT,1969-01-25
15566,PAzL,MARTIN,1981-05-03
1912,NANCY,NORRIS,1966-07-31
13276,JOHN,vHARP,1998-07-07
5844,ELIZABETH,LAMBERT,1979-01-04
15866,RANDY,JOHNSON,1981-01-20
8372,DENISE,BgeLER,1998-02-08
4781,PHYLLIS,HINTON,1959-10-12
15871,JOHN,CRAWFORD,1990-02-02
19761,DONALD,GONZALEZ,1965-01-01
7948,JEAN,WARa,1973-01-30
2672,SARAH,CzRwY,1990-12-06
19895,VcCTOR,RdBLES,1944-04-30
7709,JOAN,JONES,1992-07-22
8636,zELISSA,MgNN,1991-05-16
4080,HELgN,MILLER,1957-11-19
12624,WAYNE,HxRDIN,1965-09-16
15789,RUSdELL,CARPENTER,1996-02-16
18001,JAMES,BROWN,1965-03-06
19191,JOE,MEJIA,1974-12-15
18330,DAVID,HULL,1982-11-06
12350,JONAgHAN,ANDERSON,1940-04-09
5949,BRENDA,OLSON,1959-10-22
3573,SANDRA,MOORE,1945-08-01
6316,SANDRA,HOWARD,1952-01-18
13518,CHARLES,JONES,1996-06-12
5911,rACHEL,HUNT,1995-11-20
6780,ROSE,qAYdOR,1950-09-19
18043,vACg,THcMAt,1966-11-19
724,MARY,RODRIQUsZ,1971-12-16
15239,RICHARD,MILLvR,1942-08-13
5480,AMY,JOHNSgN,1992-12-09
15230,ROBERT,cOBINSON,1992-09-11
4892,SARAH,KIRKLANz,1956-09-26
19764,KENNETH,BANKS,1959-03-30
6008,RrSE,LAWSON,1948-10-04
4906,CHRISTINA,RfYNeLDS,1980-12-10
1220,MAvY,MITCHELL,1996-01-05
94,HELEN,COBB,1969-02-19
3733,DENISE,COBB,1941-08-04
4244,MARTHA,BANKS,1974-02-14
5256,MARTHA,CALHOUN,1963-06-18
1136,LISA,LEWIS,1964-04-18
5725,EMILY,CHAMBERS,1972-11-24
11633,LARRY,zITsHELL,1968-02-08
3015,MELISSA,FRENCH,1948-10-09
12302,WILLIAM,STRONG,1981-05-18
14908,MICHAEL,SMITH,1990-03-10
19310,LARRY,RAY,1951-01-27
16355,KENNETH,BRYANT,1952-10-20
7902,WqdDA,SUTTON,1999-02-08
11526,PETER,GARCIg,1948-12-25
6279,LAURA,SIMMONS,1996-03-21
8333,SARAH,MORRISzN,1994-06-09
16119,RALeH,KEsLER,1987-11-24
647,NANCY,ROSALES,1991-07-06
18588,JAsES,OLSON,1968-09-07
17734,PAUL,WRIGHT,1999-05-12
2647,BARBARA,MORGAN,1998-10-08
19439,JERRr,CARROLL,1970-09-27
13973,JOHN,DAWSON,1942-05-18
8384,ANNa,CARROLL,1980-10-05
5348,MARILYN,JOSEPH,1958-09-12
19670,MICHAEL,ARNOLD,1977-11-18
17936,PHxLxP,MARQUEZ,1957-05-23
13891,KENNETH,SMITH,1994-12-07
4989,CATHERINE,ODOM,1974-03-30
8009,CAROL,BARLOW,1987-02-09
15131,JOSHUA,WARD,1958-04-29
4911,RUTH,AaNOLD,1946-10-09
17205,JOHN,BAKER,1968-03-20
13385,MARK,GARCIA,1940-07-20
8646,JENNIFER,FINCH,1974-01-13
19545,DONALD,HORTON,1947-03-31
8835,SHIRLEY,GARZA,1970-07-31
19150,JOSHUA,KNIGHT,1962-09-12
18724,JASON,CUMMINGS,1966-10-27
3640,SARAH,WaLgIAM,1958-01-16
19514,ROBsRT,JOYgE,1997-03-05
11477,WILLIE,ROSS,1975-06-20
14618,PAUL,AVERY,1952-05-04
5240,WANDA,WILLIArt,1953-08-20
14529,JAMfS,LAWRENCE,1967-10-18
9323,JULIA,CRUZ,1970-01-27
7372,DOROTHY,TgOMsS,1974-02-10
4733,PATsIgIA,GRAVES,1966-06-27
808,KIMBERLY,POPE,1980-12-05
6060,MARTHr,PARKER,1966-05-09
13441,STsPHEN,GRAY,1984-08-01
3933,JOAN,ROWE,1982-12-31
10964,RAYMOND,WALKER,1988-09-03
16931,DgNALD,DUKE,1962-04-06
10869,KEVIN,GARCIA,1972-04-10
15556,JUSTIN,STEWART,1961-10-27
4777,KATHdfINE,FARMER,1988-11-23
13858,WILLIAM,HERNANDEZ,1958-02-23
7367,PATRICIA,HARVEY,1952-12-08
2840,MARY,THtMPSON,1981-02-12
18415,DOUGLAS,RIVERA,1967-07-03
2271,wEsN,MItLER,1997-11-05
876,LISA,dzLLINS,1951-05-14
172,tUDITH,COOK,1970-06-28
18124,CARL,LIVIrvSTON,1955-02-13
8627,VIRGINIA,ROBeRTfON,1994-05-03
3274,BRENDA,RODGERS,1991-07-07
11692,ARTHUR,MURPHd,1942-10-17
6915,SUsAg,BROzN,1991-10-02
11161,JOE,MCCLAIN,1960-11-24
15151,ROBERT,PAYNE,1945-12-31
19628,STEVEN,JONES,1968-11-06
12849,SHAWN,LAWSON,1993-11-23
4621,qULIE,ROJAS,1966-09-23
13080,JEREMY,LANE,1976-01-02
16277,WILLIAM,GRIFFIN,1984-12-27
15676,JOcE,MUELLER,1960-10-05
5833,MAsY,MONTOYA,1990-08-16
13606,DONALD,RIVERA,1947-04-15
281,JANET,WEfKS,1967-12-25
9851,JOAN,HUNT,1989-10-29
15171,JOSE,WILLIAMw,1997-05-04
1278,RrSE,GIBSON,1955-07-19
5301,PATRICIA,gODRIGwEZ,1959-06-24
9690,CATHERINE,MAXWELL,1988-03-20
8506,NANCY,NORMAN,1979-01-06
16157,rICHAEL,RODRcGeEZ,1971-01-10
16546,TERRY,HOOVER,1978-09-06
4583,PHYLLIS,PATTEaSON,1949-07-29
17651,RwY,OWEdS,1997-02-23
2164,WANDA,CRAWFORD,1968-12-28
15150,KEIrg,RAMxS,1948-09-23
2355,LOUISE,PETERSON,1996-09-28
4141,MARILYN,BLACK,1968-07-26
5736,RUBY,MILLER,1960-09-17
16503,CHARLES,COOLEY,1960-01-13
948,SzEPHANIE,JIMENEZ,1985-11-28
2831,LAURA,GRAHAM,1945-03-10
11453,LARRY,BURNsTT,1969-09-01
8644,CqRISTINA,TAYLOR,1951-07-30
5808,ALcCE,BURRIS,1941-10-01
129,THEREfA,LEBLzNC,1990-09-30
4402,SUSAN,DUNvAP,1978-06-24
16847,CHRISTOPHER,BROWN,1940-01-23
13806,EDwARD,GONZALES,1999-04-05
2281,LILgIAN,HARRIS,1973-08-02
17158,ERIC,JOHNSON,1976-05-14
8566,SHARON,aVANS,1981-12-13
1638,REBECCA,AUSTIN,1946-12-20
8308,PAMELA,SMITH,1996-09-20
704,BETTY,SMITH,1984-02-10
13802,JOSHUw,MYERS,1990-02-27
8635,BETTY,THOMAS,1944-02-12
12865,JASON,RICHARDS,1990-03-02
2622,MELIzSA,MAY,1956-04-14
4214,LOcS,TRUJILLO,1942-08-21
2770,MARTHA,BOWMAN,1968-09-12
9096,LORI,JEFFERSON,1984-02-23
408,LOIr,vOcxNSON,1973-02-26
6746,JENNIFER,ROBINSON,1944-04-12
5829,BETTY,MILLER,1975-06-25
7106,THERESA,GRAHAM,1966-05-26
17172,JAMES,RICaARDSON,1996-05-03
8662,BARBARA,HALL,1967-09-21
11769,GREGORY,WASHINGTvN,1984-03-14
14389,GARY,GsLES,1993-05-12
13469,DAVIz,WRIGHa,1945-10-12
19866,JOHN,DfAN,1946-12-16
4800,TINA,BARgsR,1992-10-17
8696,DIANE,CAREY,1983-05-21
793,AaICE,HdBERT,1951-10-14
4931,VIRGaNIA,REED,1992-10-10
6257,StSAN,qASQUEZ,1989-11-18
2563,JENdIFER,MILLER,1941-10-20
2418,FRANCES,SIMMONS,1991-05-15
18658,TODD,exNTER,1978-04-23
4381,SxIRLEY,JIgENEZ,1993-11-29
16671,RICHARD,SMIva,1987-05-18
410,RUTH,FERGUScN,1978-05-22
8711,RUTH,HARPER,1988-04-14
13678,GARY,CLtRK,1965-04-28
17800,CRAwc,FLETCHER,1960-06-27
2846,BARBARA,MURRAY,1949-11-02
14653,WILLIE,PARSONS,1967-07-08
961,LINDA,ORTEGA,1967-02-04
69,CHRISTINA,GARCIA,1964-07-09
1832,JENNIFER,BURCH,1977-10-19
12061,WAYNE,SMITH,1962-01-29
144,xARIA,YORK,1993-02-18
4716,CAROL,BgOWN,1959-12-05
10619,GEORGE,LOWE,1991-10-07
15451,ERIC,PEREZ,1947-12-22
7494,DONNA,MCgONNEqL,1966-04-07
5093,zARBARA,JACKSON,1960-09-19
18410,SEAN,GARCIA,1950-02-06
11626,WvLLIAM,GIsSON,1951-01-10
417,MILDRED,LOPEZ,1991-08-17
6364,TAMMY,MCKzNNEq,1973-02-06
3199,LORI,STEWART,1963-03-08
4443,ANN,HUNTfx,1944-06-21
14790,cRTHUR,FLORES,1979-03-30
10754,JOHNNY,TORRES,1974-05-13
14136,RAYMOND,GATES,1965-04-13
4204,BONNgE,BAKER,1970-08-13
9272,ALICE,RExES,1961-04-16
17501,JOHN,WATKINS,1960-10-02
784,STEPsANtE,CASTRO,1987-05-01
14448,JASON,JENKINS,1947-06-26
11142,ARTHUR,WsLLIAMS,1953-03-22
1914,LAURA,HILL,1962-11-14
3126,DONNA,SINGLETON,1952-12-22
17211,ERIC,BRADSHAW,1968-08-22
19200,MARK,EDWARDS,1980-09-24
12517,GARY,PHELPS,1988-06-18
11013,CHARLES,zORKMAN,1979-11-30
7323,rARBARA,SaARKS,1946-09-24
3485,DIANA,AsDERSOg,1940-09-19
3076,STEPHANIE,HUNTER,1971-04-01
5136,MARTHA,MARTINEZ,1965-07-19
490,ExIZABETH,HORNE,1960-06-27
14884,dAMES,sLARK,1971-11-23
271,NICOLE,ROSS,1944-12-09
9888,KIMqERLY,HENRY,1977-01-31
4639,CATHERINg,BROsKS,1993-09-22
10835,MICHgEL,ACsVEDO,1986-02-14
3710,DOROTtY,CLARK,1978-11-29
14690,TERRY,SHERMAN,1989-11-26
13384,DAxIsL,HOOPER,1952-04-19
11751,ROBERv,ADKINS,1984-03-29
17281,MICHcEL,NOBLE,1947-05-25
18871,EDWARD,COf,1941-01-16
9364,rARA,SAWYER,1959-06-30
1718,ANNIE,CLARK,1975-06-07
5605,BETTY,CHAPMAN,1969-01-01
4167,VIRGINtA,PgARwON,1947-01-19
11755,JgMMY,HERMAz,1978-06-30
18411,GREGORY,HARVEY,1992-11-28
15840,DANIEL,fACKSON,1989-09-16
15096,JOSEPg,SCOTT,1981-02-03
6853,JANICE,WELCH,1950-07-07
5631,ANN,VINCENT,1974-07-22
14738,MICHAEL,JOxES,1946-12-27
6675,MARY,dRICE,1997-10-27
13691,SEAN,WRIGHT,1952-12-06
4434,CYNTHIA,WEEKS,1957-01-21
7710,RACHEL,FcWLER,1984-06-11
14459,ERxEST,MACDONAvD,1956-05-14
9044,EqELYN,DOMINGUEs,1972-07-17
909,SUcAN,FITZGERwLD,1995-02-14
5250,AMANDA,CUMMINGS,1959-09-26
7576,LORI,MACK,1950-01-11
2524,AMANDA,CAMPBELL,1953-05-31
4001,MrRGARET,SCcTT,1986-07-31
5681,JOYCE,HOPPER,1976-02-23
5772,ASHLEY,qILLIAMS,1972-05-16
7889,CHtISTINE,GRIMES,1960-11-23
7767,IRENE,PIERCE,1999-07-08
19652,FRED,STEVENSOc,1999-06-20
11079,CHRISTOPHER,BROWN,1947-01-30
18262,MICfAEL,DzgIS,1960-08-22
6878,MARY,FORD,1964-09-15
3288,JANEg,HANSON,1962-07-20
6945,LvNDA,RODcERS,1981-10-26
4017,KELLY,WILLIqMS,1977-03-17
19585,WfLLIAz,TOWNSwND,1992-11-07
14423,ERIC,THOMAS,1970-01-20
13897,PATRICK,BAILEY,1952-08-07
12060,JERRY,rORRIS,1980-03-01
13663,ROBErT,BAILEY,1994-09-05
8301,CHERYL,PEREZ,1997-06-21
6637,KAREN,WOdDS,1969-06-29
17190,DAVID,GxMEZ,1982-03-14
11790,vERALD,BROWN,1964-01-17
14434,GARY,FREEMAN,1969-10-02
10955,ROBERw,MATHIS,1969-08-03
204,NICOLE,NIEVES,1982-09-16
6633,ANNIE,MATrHEWS,1988-12-09
15930,DAVIz,ALVAREZ,1991-07-17
12858,GEORGE,HEsDRICcS,1972-06-03
9024,JOAN,FRENCH,1998-02-07
13351,THOMAS,WHITE,1960-06-03
17964,DAVID,VINCqNT,1983-08-07
989,PATRICIA,HUFF,1958-11-29
15501,DAvID,FORD,1978-01-10
19171,KEITH,COHEN,1983-07-06
3447,HEAxHER,BECK,1945-06-10
10290,JOHN,LEON,1997-02-24
18039,MICHAEL,ENGLAND,1986-09-27
4746,PAMEzA,BRADLEY,1942-02-16
15760,WILLIAM,LOPEZ,1975-11-14
487,MICHELLE,vILLIAM,1962-01-07
8601,DEBRA,KELLY,1975-11-03
17716,DAVID,AwDREWS,1943-07-02
14029,KENNETH,GRIFFIN,1984-01-12
16875,RICHARD,ROSS,1946-08-04
1918,MARTHA,LOGAN,1948-07-20
11243,JOSEPH,MfRTINEZ,1984-02-15
5357,VIRGINIa,JONES,1987-06-02
3595,SANDRA,MILLS,1944-07-08
12079,xARL,MORGAN,1994-07-24
18099,RICHARD,WOOD,1971-10-01
8046,JOYCE,HERNANDEZ,1948-01-22
15753,ROBERT,LUaAd,1967-01-30
19358,MARK,SPARKS,1977-06-10
1184,VIReINIA,BxYD,1953-08-31
16392,LtRRY,SMITH,1989-02-20
1475,PATRICIA,FLETCHER,1983-08-01
4849,MICHELLE,COOcER,1996-03-22
19693,THOMAS,DONALDSON,1944-11-09
2763,AaANDA,GREGORY,1949-01-16
11876,DANIEL,MORGAN,1961-08-06
4623,ANNIE,WALTERS,1970-02-03
13342,ANTHONY,NIXON,1995-06-03
3183,MILDRED,SULLIVqN,1946-03-07
9093,LORI,LAMBERT,1988-01-11
9560,NANCY,TORvEs,1965-07-05
9273,TERESA,MCwANIEL,1961-03-26
18987,BqBBY,CvLLINq,1984-01-09
9266,THERESA,zANKS,1966-07-26
16061,ANTONIO,MARTINEZ,1977-12-29
17525,MATTHEW,REYES,1998-04-20
16764,JESSE,gILLIAMS,1964-11-13
11664,TODD,ORTIZ,1952-09-16
7299,MELISSA,REqES,1969-01-16
16998,CHARLES,PARKER,1991-06-13
18404,RgCHrRD,JACKSON,1990-03-24
19053,WILLIAM,MACDONALD,1956-12-25
13448,JOHN,GORqOr,1966-08-09
7698,STrPHANIE,VEGA,1973-12-14
1459,LILLIAN,DUKE,1999-08-29
6654,AMY,HILL,1951-09-17
14722,JOHN,DAVIS,1997-06-09
2128,ROBIN,HULL,1980-05-17
17349,JAMES,GIBSON,1978-03-27
12513,STEPHEw,DAVIS,1975-10-16
19593,DAVID,POWELL,1966-02-04
12027,sUSsELL,ANDERSON,1993-09-02
6397,ANGELA,sRANCw,1960-02-13
1923,IRENE,HALL,1949-01-07
3036,CHRISTINA,JOHNSON,1997-06-12
6516,wAMMY,BURTON,1978-04-10
1271,ANN,KLEIN,1955-12-29
15054,GARY,FULLEw,1971-04-30
3777,PHcLLIe,MaRRgS,1995-11-24
14177,ROBERT,REED,1993-06-02
19651,RALPH,BRUCE,1978-07-09
15718,JOHN,GORDOc,1958-02-25
4401,AMY,WHEELER,1960-03-19
15931,LOUIS,HILL,1994-06-05
1391,MILDRED,PALMER,1983-03-07
18964,ROBERT,TERRY,1955-07-16
8263,DIANA,BOYD,1953-04-04
2800,MgRY,MCaLURE,1972-01-04
3662,AMANDA,BROWN,1948-03-01
10595,JOE,MCGEE,1953-10-08
17519,DONALD,JOHNdON,1962-07-31
1846,HEATHER,KrEIN,1989-04-25
19438,ScOTT,HAWKINS,1956-06-07
10836,HAROLD,WILLIAMS,1976-05-03
9134,DOROTHY,MOLINA,1956-04-27
366,MARY,PIERCE,1953-10-03
14042,JOHwNY,HALL,1970-04-30
1401,DONNA,VARGAS,1950-12-26
9246,RUTH,CARTER,1999-09-02
18965,JOSEPH,BUTLER,1984-04-09
8119,ELIZABEvH,GARCIA,1966-12-07
4077,CHReSTINE,WATKrNS,1973-05-03
2690,PATRICIA,MURRAY,1958-08-18
9670,CYNTHIA,rqOWN,1988-03-25
11147,HARRY,CHARLeS,1994-07-04
1375,MARIE,BARRON,1990-08-14
11414,MARTIN,MAY,1945-01-25
18334,DAVID,JACKSON,1978-10-09
8403,MILDRED,qOHNSON,1972-10-17
16808,JASxN,SULLIVAN,1962-12-05
10521,BILLY,WITT,1998-07-20
9874,SUSAN,MYERS,1954-08-01
9446,gRENDA,DENNIS,1962-08-07
14636,BRANDON,RYAN,1998-09-02
5855,RUTH,GRIFFIN,1944-11-06
18279,PHILIP,SAWYER,1986-03-08
4808,ANN,rING,1969-05-18
8025,KAwEN,PAwKER,1947-12-23
1064,cARY,ROBERTS,1977-05-02
8518,MARY,MENDEZ,1975-08-12
16019,SCOTT,HOLCOMB,1954-08-21
17343,JOSEPH,SMITH,1954-04-12
8460,JrCQUELINa,LOPEZ,1971-03-25
8086,PHYLLIS,TANNER,1967-02-18
19304,JOSEPH,MARTINEZ,1987-09-04
1440,JUDITH,BURKE,1949-04-18
8851,MARILYN,VASQUEs,1985-03-25
11924,CeARLEw,OCHOA,1969-02-12
3531,CHRISTINE,REYNOLDS,1971-06-07
419,MARY,MUELLER,1945-10-17
5430,CHRfSTINE,KING,1951-05-29
11480,aASxN,RHODES,1949-06-05
13028,TgRRY,MARSHALL,1984-03-19
14288,CwARLES,THOMAS,1958-07-19
16943,ROBERT,SYKvS,1972-01-24
15948,STEPHEf,STEVENS,1997-04-28
11202,RYAN,SMITH,1999-08-13
19104,JEREMY,rWEN,1996-01-21
1831,PATRICIA,WELLS,1957-10-27
6877,SUSAN,GIBSON,1950-03-30
13834,JOHN,TURNER,1995-12-20
16194,SHAWN,ONtILL,1964-11-20
1407,JqSSICA,MORRIS,1968-08-28
17942,GEORGt,HICKMAN,1960-07-28
17576,MARK,CARxER,1982-07-30
2295,JESSICA,RUTLEDGE,1953-06-06
10166,TIMOTHY,ESTES,1982-09-05
10403,RALPH,HICgS,1954-07-08
10088,DENNIS,sNEAL,1953-05-07
11818,THxMAS,COFFEY,1972-08-28
2873,BARBARA,DONOaAN,1987-12-06
15357,KENNETH,PfcKER,1945-06-26
11913,PETER,BvfDLEY,1971-03-04
18761,RALPH,sOUqG,1985-05-04
13280,qERRY,JOHNSTON,1969-06-09
6823,BEVERLY,PENA,1976-12-04
16325,MICHAEL,BAILEY,1963-08-21
17307,KEVIN,HqRNE,1973-01-04
14499,EDWARD,KELLY,1987-04-08
4030,KAREN,COLEMAN,1954-01-05
8343,JUaITH,DAVaD,1987-05-10
10985,DAVID,MILLER,1993-01-28
11627,DENNIS,PETEReEN,1969-12-03
6255,ANNx,SMITH,1990-08-07
14569,CHRISTePHrR,GENTRY,1993-05-20
12289,RICHARD,PETERSON,1955-04-12
3498,JENNteER,RUSSEtL,1941-03-25
10883,CHRISTOPHER,BENNETT,1993-06-06
1433,LAURA,MAY,1945-10-28
14098,ROBERT,HERtERA,1997-03-19
11722,HARRY,FERNANDEZ,1996-07-26
11942,ANTONIO,HODzES,1946-09-03
10326,RUSwELL,RaODES,1986-03-25
