firstname,surname,birthdate,zip_codes
83,JULIE,DAY,1965-12-12,11226
84,LINDA,BRYANT,1967-08-13,11226
85,MARY,BAKER,1947-06-14,11227
86,KATHLEEN,CHERRY,1960-01-09,11109
87,ELIZABETH,HURST,1955-02-02,11226
88,ANGELA,JACKSON,1977-01-06,11226
89,LAURA,HORN,1968-05-15,11109
90,BARBARA,EDWARDS,1941-03-06,11109
91,JULIE,RASMUSSEN,1976-06-20,11227
92,BETTY,WILLIAMSON,1975-09-08,11227
93,SARA,WALKER,1986-06-17,11109
94,HELEN,COBB,1969-02-20,11226
95,CYNTHIA,MONTGOMERY,1962-01-17,11226
96,MARY,PACHECO,1988-11-25,11227
97,ELIZABETH,MCBRIDE,1978-06-26,11377
98,KATHY,BARBER,1964-07-17,11109
99,LINDA,LEWIS,1997-06-16,11226
100,LINDA,HANEY,1941-05-19,11226
101,MICHELLE,PETERSON,1946-07-11,11226
102,STEPHANIE,WALTON,1999-03-18,11226
103,MARY,HAYNES,1958-11-04,11109
104,HELEN,LOPEZ,1976-10-02,11377
105,JANET,CLAYTON,1997-10-17,11226
106,JOYCE,CLARK,1948-12-24,11226
107,SUSAN,COLLINS,1980-07-23,11226
108,DORIS,MOORE,1947-02-24,11226
109,KATHLEEN,DORSEY,1948-05-10,11227
110,LISA,HUDSON,1964-11-18,11226
111,CAROLYN,CLAYTON,1955-04-25,11226
112,HEATHER,SANDERS,1971-12-29,11226
113,SUSAN,GAINES,1999-01-24,11109
114,JANET,BROWN,1989-05-12,11377
115,ANGELA,STEPHENS,1973-06-22,11226
116,HELEN,VALENTINE,1972-12-16,11226
117,EVELYN,WILKINS,1998-03-24,11226
118,JUDITH,SMITH,1958-01-17,11226
119,DOROTHY,FARMER,1982-01-02,11226
120,AMANDA,WILSON,1951-04-15,11227
121,TINA,WRIGHT,1976-03-25,11226
122,MARY,STEPHENSON,1995-09-30,11109
123,AMY,MELTON,1994-02-10,11226
124,JENNIFER,THOMPSON,1983-05-14,11109
125,JUDY,HERNANDEZ,1979-03-25,11226
126,KATHLEEN,GARCIA,1950-02-19,11227
127,PATRICIA,BARNES,1987-01-17,11377
128,DIANE,BEACH,1968-04-13,11109
129,THERESA,LEBLANC,1990-10-01,11109
130,LINDA,GALLEGOS,1990-02-20,11377
131,RUTH,HARDIN,1963-04-06,11227
132,PATRICIA,WARNER,1996-07-11,11109
133,JOYCE,MOSES,1988-09-02,11227
134,RUTH,MILLS,1945-10-15,11109
135,MARY,WOOD,1942-04-14,11109
136,MARIA,CONLEY,1976-10-21,11226
137,TAMMY,BOYD,1971-09-25,11226
138,LISA,COLEMAN,1973-11-23,11227
139,CATHERINE,BROOKS,1998-05-11,11226
140,PAULA,BUTLER,1944-03-12,11377
141,MARILYN,MCCONNELL,1948-07-26,11226
142,DOROTHY,LEWIS,1945-04-20,11226
143,DOROTHY,THOMPSON,1972-10-27,11109
144,MARIA,YORK,1993-02-19,11227
145,TERESA,FULLER,1941-05-04,11226
146,MARY,MARTIN,1971-11-07,11226
147,LISA,DUNN,1955-02-23,11227
148,CATHERINE,HARRELL,1957-06-18,11227
149,NANCY,MONTOYA,1971-07-05,11226
150,VIRGINIA,STEELE,1983-06-15,11227
151,RUTH,JENKINS,1976-12-15,11377
152,KELLY,REYES,1989-12-25,11226
153,JENNIFER,MASSEY,1962-08-04,11227
154,CHRISTINA,WHITE,1969-02-23,11226
155,RUTH,BUCK,1980-11-08,11227
156,BEVERLY,WRIGHT,1981-04-24,11226
157,MARY,JOHNSTON,1998-10-22,11109
158,BARBARA,RAY,1945-10-23,11227
159,ELIZABETH,GLOVER,1990-10-22,11227
160,VIRGINIA,KLEIN,1964-03-17,11109
161,JOAN,TAYLOR,1942-12-18,11227
162,ANDREA,KING,1950-09-18,11227
163,NICOLE,FORD,1995-06-18,11227
164,BETTY,WEAVER,1964-03-06,11226
165,JENNIFER,WOODS,1993-04-12,11226
166,MARILYN,LESTER,1947-12-03,11226
167,BETTY,MILLER,1992-07-06,11226
168,EVELYN,BARBER,1960-01-12,11227
169,JOYCE,DIXON,1983-01-27,11109
170,CATHERINE,THOMPSON,1981-10-16,11377
171,MARY,MCFADDEN,1941-03-14,11227
172,JUDITH,COOK,1970-06-29,11226
173,JANICE,GONZALEZ,1996-10-07,11226
174,CAROL,PATEL,1958-03-01,11227
175,STEPHANIE,POWERS,1955-03-05,11226
176,CHRISTINA,BURNS,1956-09-03,11377
177,WANDA,HENDRICKS,1999-04-04,11226
178,MARY,REID,1953-08-29,11226
179,DEBORAH,FREEMAN,1980-08-23,11226
180,DONNA,WONG,1973-04-09,11226
181,BARBARA,LOPEZ,1971-08-22,11109
182,GLORIA,COLLIER,1952-07-15,11227
183,CYNTHIA,WARD,1952-08-30,11226
184,AMANDA,MURRAY,1993-10-30,11109
185,RUTH,RICH,1963-08-22,11227
186,KATHLEEN,REED,1970-08-21,11227
187,MICHELLE,BROWN,1995-02-24,11226
188,MARY,YOUNG,1999-07-02,11226
189,SHARON,ADAMS,1972-04-21,11226
190,ANNIE,PRICE,1964-08-20,11226
191,DORIS,GREEN,1991-01-22,11377
192,LINDA,CUNNINGHAM,1956-08-25,11109
193,MARY,WOODS,1954-01-11,11377
194,BEVERLY,BARRETT,1994-10-10,11227
195,DEBRA,DAVIS,1980-02-08,11377
196,KATHLEEN,ALLEN,1987-02-08,11226
197,MARGARET,JORDAN,1956-05-28,11227
198,NANCY,HALL,1974-05-07,11109
199,JOAN,ODOM,1972-01-10,11226
200,ANNIE,OSBORNE,1990-06-30,11226
201,KELLY,JOHNSON,1974-08-27,11227
202,HEATHER,HARRIS,1975-12-22,11227
203,HELEN,MOSS,1957-11-10,11109
204,NICOLE,NIEVES,1982-09-17,11226
205,CYNTHIA,BROWN,1986-02-22,11377
206,KAREN,KING,1982-01-13,11226
207,JANET,WILLIAMS,1988-04-22,11377
208,CATHERINE,MOON,1942-05-07,11377
209,DORIS,JAMES,1965-04-19,11226
210,KELLY,BENSON,1967-05-30,11226
211,SANDRA,YOUNG,1941-10-04,11109
212,NANCY,CUMMINGS,1948-03-24,11377
213,MARGARET,ROWE,1997-06-30,11377
214,KIMBERLY,SELLERS,1957-05-17,11226
215,MARIA,SMITH,1961-01-21,11109
216,NANCY,LOWE,1990-08-29,11226
217,KATHY,BEST,1991-01-11,11377
218,JESSICA,BLACKBURN,1999-10-17,11226
219,NORMA,MCDANIEL,1991-09-01,11226
220,BETTY,DOUGLAS,1970-01-24,11227
221,BARBARA,PATTERSON,1956-05-14,11226
222,ANGELA,JOHNSON,1995-04-08,11226
223,EVELYN,MACK,1982-11-01,11109
224,MARY,ROBINSON,1995-08-24,11226
225,BONNIE,ANDERSON,1986-04-08,11226
226,TINA,ANDERSON,1953-12-17,11226
227,BARBARA,ESTRADA,1951-04-21,11227
228,JENNIFER,MATTHEWS,1973-06-28,11109
229,ELIZABETH,SANTOS,1981-12-15,11226
230,SHARON,CAMERON,1940-10-23,11109
231,JESSICA,CASE,1969-06-25,11226
232,RUTH,HARRISON,1954-08-01,11377
233,JENNIFER,STRICKLAND,1998-01-29,11227
234,JANICE,POWELL,1952-10-11,11226
235,DEBORAH,DUDLEY,1981-10-16,11227
236,PAMELA,WARE,1985-05-30,11377
237,LINDA,JOHNSON,1983-05-12,11227
238,JEAN,ADAMS,1981-05-05,11227
239,PATRICIA,JONES,1983-04-30,11109
240,GLORIA,MURRAY,1982-07-26,11226
241,SUSAN,FLOWERS,1981-11-03,11377
242,PAMELA,SCOTT,1956-06-24,11227
243,CHERYL,WILLIAMS,1948-11-12,11226
244,ANN,HENRY,1987-10-11,11226
245,DORIS,BARRETT,1997-02-05,11226
246,BETTY,AGUILAR,1961-12-07,11377
247,PAULA,BULLOCK,1971-09-27,11377
248,HELEN,ANDREWS,1965-12-11,11109
249,PATRICIA,WRIGHT,1989-11-08,11226
250,FRANCES,BROWN,1976-06-30,11226
251,LORI,ANDERSON,1997-03-21,11109
252,STEPHANIE,HANSEN,1954-05-06,11227
253,PATRICIA,PATTERSON,1945-07-09,11377
254,DEBRA,LEWIS,1982-08-23,11109
255,MARY,CARPENTER,1995-08-29,11227
256,VIRGINIA,GILMORE,1955-03-08,11227
257,BETTY,WILSON,1941-08-07,11226
258,RUBY,WHITE,1999-05-22,11109
259,ELIZABETH,JACKSON,1942-01-01,11227
260,GLORIA,MILLER,1993-12-24,11109
261,ANN,WILLIAMS,1944-09-25,11377
262,CAROL,COX,1962-11-16,11226
263,PATRICIA,WOLFE,1965-05-14,11226
264,DENISE,SCOTT,1990-07-14,11226
265,ELIZABETH,SIMPSON,1954-03-12,11227
266,JULIE,PACE,1974-05-09,11377
267,TERESA,YATES,1992-04-20,11377
268,JANE,STEWART,1974-05-06,11377
269,CHERYL,MCCOY,1970-11-15,11226
270,DORIS,WEEKS,1977-08-30,11226
271,NICOLE,ROSS,1944-12-10,11377
272,BRENDA,HOLMAN,1972-07-09,11227
273,RUBY,CRAWFORD,1946-03-25,11109
274,SARAH,MOODY,1952-07-01,11226
275,ASHLEY,COMBS,1955-04-11,11377
276,VIRGINIA,JACKSON,1941-08-31,11227
277,DONNA,WILLIAMS,1980-08-19,11377
278,BETTY,PRICE,1971-12-01,11226
279,IRENE,RIVAS,1998-10-04,11227
280,CAROL,BARKER,1948-12-04,11226
281,JANET,WEEKS,1967-12-26,11226
282,NICOLE,BARKER,1991-11-19,11226
283,MARIE,VEGA,1943-10-21,11227
284,LISA,JOHNSON,1974-07-02,11226
285,KELLY,WALKER,1968-09-21,11227
286,DENISE,WOODS,1960-06-18,11377
287,MILDRED,CHAMBERS,1965-05-05,11226
288,JACQUELINE,RUSSELL,1953-12-14,11226
289,STEPHANIE,WILLIAMS,1996-11-30,11109
290,ROSE,WALLACE,1983-12-10,11226
291,JESSICA,DAVIS,1975-10-30,11227
292,CHRISTINA,JONES,1971-09-25,11227
293,MARY,SCOTT,1990-04-16,11226
294,LINDA,KELLY,1983-08-30,11226
295,ANN,WRIGHT,1964-07-05,11377
296,ANNIE,KELLEY,1948-05-03,11377
297,CAROLYN,MARTINEZ,1957-08-01,11226
298,PATRICIA,WEBER,1994-09-02,11109
299,BARBARA,CONNER,1962-06-06,11109
300,MARIE,COHEN,1942-02-26,11227
301,NICOLE,SHEPPARD,1987-10-16,11227
302,SHIRLEY,BROWN,1964-10-09,11377
303,LINDA,GILBERT,1975-12-15,11227
304,CYNTHIA,PATEL,1954-01-18,11226
305,VIRGINIA,EVERETT,1983-01-18,11377
306,MARIA,WILKINSON,1955-07-26,11226
307,CAROLYN,JONES,1987-04-20,11377
308,CHERYL,MATHEWS,1960-06-24,11226
309,LISA,GREEN,1960-03-06,11227
310,PHYLLIS,SMITH,1979-08-06,11377
311,EVELYN,ROTH,1940-09-21,11109
312,DEBORAH,CAMPBELL,1986-10-10,11227
313,NICOLE,HARRIS,1993-09-02,11226
314,LINDA,HODGE,1961-04-21,11377
315,MELISSA,HERNANDEZ,1988-05-22,11226
316,PATRICIA,CARSON,1953-05-07,11226
317,SHARON,WILLIAMS,1955-04-25,11377
318,BARBARA,REYNOLDS,1968-11-06,11227
319,WANDA,RODRIGUEZ,1973-02-03,11226
320,PATRICIA,BAILEY,1981-10-25,11226
321,JOYCE,WHITE,1977-05-06,11109
322,RUTH,HAYDEN,1991-02-06,11226
323,KATHLEEN,BANKS,1962-11-10,11226
324,RACHEL,JOHNSON,1956-07-23,11109
325,JOYCE,RODRIGUEZ,1976-06-21,11226
326,PATRICIA,LARSON,1962-05-23,11377
327,NICOLE,BAILEY,1957-04-05,11226
328,EVELYN,CASTRO,1955-01-19,11109
329,ELIZABETH,BURNETT,1969-10-26,11226
330,GLORIA,MASON,1983-08-25,11227
331,KATHRYN,MILLS,1964-07-22,11109
332,TINA,JAMES,1958-10-20,11377
333,MARY,CLARK,1964-08-19,11227
334,LISA,SMITH,1945-05-20,11226
335,THERESA,SMITH,1941-12-10,11226
336,ASHLEY,HALE,1969-05-03,11226
337,SHIRLEY,OLIVER,1960-05-07,11226
338,REBECCA,TORRES,1976-10-15,11226
339,MARILYN,WILLIAMS,1987-11-07,11109
340,BARBARA,COLLINS,1981-04-15,11226
341,BETTY,BLACK,1977-03-10,11109
342,LISA,LUCAS,1942-08-18,11226
343,WANDA,MATTHEWS,1956-01-28,11226
344,REBECCA,RAMSEY,1944-12-10,11226
345,JENNIFER,BARKER,1995-10-18,11226
346,RUBY,ROWE,1961-01-25,11227
347,RUTH,LOPEZ,1943-07-21,11377
348,KIMBERLY,GRANT,1995-02-25,11226
349,JUDY,MURPHY,1966-05-24,11227
350,JEAN,HOUSTON,1993-08-18,11226
351,LINDA,FLEMING,1977-01-29,11227
352,LISA,TRAN,1945-06-17,11227
353,JULIE,GARRETT,1950-07-23,11226
354,DENISE,OWEN,1950-12-14,11226
355,PATRICIA,MCLEAN,1985-11-10,11227
356,JESSICA,HOPKINS,1960-11-16,11226
357,MARIA,FULLER,1940-05-08,11109
358,RACHEL,SANFORD,1947-01-17,11227
359,HEATHER,WILSON,1975-05-06,11227
360,ROBIN,REEVES,1998-04-09,11109
361,RACHEL,LARA,1959-06-02,11377
362,LISA,BONNER,1949-08-10,11227
363,TAMMY,ROBERTS,1989-01-26,11226
364,JEAN,BISHOP,1972-01-04,11226
365,NICOLE,WEBB,1954-01-17,11226
366,MARY,PIERCE,1953-10-04,11226
367,PATRICIA,SCOTT,1941-01-09,11377
368,JULIE,HOOVER,1980-01-31,11109
369,NANCY,ORTIZ,1970-05-17,11226
370,KAREN,KLEIN,1955-08-12,11226
371,JUDY,COX,1993-12-25,11226
372,ANNE,SHELTON,1995-06-03,11377
373,MARY,KING,1993-02-25,11227
374,ELIZABETH,JENKINS,1950-05-17,11226
375,LINDA,MCCARTHY,1990-08-20,11227
376,STEPHANIE,DORSEY,1955-02-23,11226
377,CHERYL,SMITH,1995-09-16,11226
378,STEPHANIE,BASS,1977-06-06,11377
379,HELEN,SANCHEZ,1995-09-09,11226
380,DONNA,WARE,1989-06-18,11226
381,PAULA,HARRIS,1940-07-17,11226
382,BETTY,WILLIAMS,1967-01-23,11377
383,KATHY,ELLIS,1966-09-13,11226
384,MARIE,NICHOLS,1974-07-01,11226
385,JACQUELINE,GUERRERO,1960-04-02,11226
386,SHIRLEY,MORRISON,1946-11-29,11226
387,MARIA,BUCKNER,1943-03-14,11377
388,ROSE,WILSON,1964-02-14,11226
389,MELISSA,PETERSEN,1964-01-19,11109
390,SUSAN,MEYERS,1946-12-25,11226
391,CATHERINE,SMITH,1945-08-03,11226
392,JUDY,CARSON,1950-03-25,11226
393,DORIS,NICHOLS,1997-10-11,11377
394,KIMBERLY,WISE,1959-03-20,11377
395,MICHELLE,TAYLOR,1943-06-21,11226
396,MELISSA,ANDERSON,1942-09-25,11226
397,CAROLYN,RAMIREZ,1957-08-05,11109
398,REBECCA,WATKINS,1947-06-01,11377
399,ANNIE,FARRELL,1945-08-01,11226
400,JUDITH,BLANKENSHIP,1978-12-12,11226
401,JOAN,REED,1946-07-09,11227
402,SHIRLEY,JOHNSON,1952-03-24,11226
403,DONNA,WILLIAMS,1990-04-26,11377
404,NANCY,FINCH,1943-10-25,11226
405,JULIE,GARCIA,1957-12-21,11377
406,MARY,STEPHENS,1954-12-13,11226
407,DENISE,CRUZ,1967-05-16,11226
408,LOIS,ROBINSON,1973-02-27,11226
409,PATRICIA,JAMES,1999-10-23,11226
410,RUTH,FERGUSON,1978-05-23,11227
411,MARTHA,JONES,1997-04-30,11226
412,HELEN,WILLIAMS,1959-05-17,11226
413,PHYLLIS,VILLARREAL,1971-08-20,11377
414,BRENDA,BRYAN,1978-06-13,11377
415,HELEN,BALL,1957-05-17,11226
416,VIRGINIA,WILSON,1959-07-08,11227
417,MILDRED,LOPEZ,1991-08-18,11227
418,AMANDA,GREENE,1971-09-27,11226
419,MARY,MUELLER,1945-10-18,11226
420,ANNE,MILLER,1999-09-26,11227
421,LINDA,LYNN,1955-11-13,11226
422,CAROL,THOMPSON,1957-10-16,11226
423,ANNA,BURKE,1988-12-08,11227
424,PAMELA,ANDREWS,1978-10-01,11227
425,KAREN,WHEELER,1963-04-21,11226
426,ROBIN,WALL,1991-03-19,11226
427,JANET,MURPHY,1982-02-16,11227
428,BARBARA,WILSON,1968-10-14,11226
429,LAURA,JACKSON,1954-04-08,11226
430,RUTH,GRANT,1987-02-14,11226
431,DONNA,WALSH,1954-03-02,11109
432,LORI,SWEET,1981-04-25,11377
433,ANNE,OSBORNE,1991-02-25,11227
434,LINDA,BAXTER,1987-10-07,11226
435,JANICE,SWANSON,1991-07-19,11226
436,ROBIN,ROBINSON,1993-01-16,11227
437,MARY,SMITH,1973-12-13,11377
438,LILLIAN,SIMPSON,1997-05-24,11226
439,ASHLEY,MOLINA,1996-04-03,11109
440,MARILYN,BURGESS,1979-07-15,11226
441,LOUISE,STOUT,1948-02-17,11377
442,TERESA,ADAMS,1983-11-27,11226
443,RUBY,THORNTON,1985-02-10,11226
444,NANCY,HULL,1972-02-11,11226
445,ANN,WHITE,1970-05-16,11227
446,ANGELA,GOODMAN,1968-06-23,11109
447,JESSICA,DUNLAP,1975-11-14,11377
448,HELEN,PEARSON,1941-12-07,11227
449,LISA,MILLER,1944-05-20,11226
450,SHARON,WHITE,1945-09-09,11226
451,MARY,JOHNSON,1948-10-21,11109
452,DONNA,CASEY,1956-12-15,11109
453,CYNTHIA,MCKNIGHT,1990-02-07,11109
454,NORMA,WEST,1979-03-04,11109
455,ANNE,HAYES,1997-06-19,11377
456,MICHELLE,GIBSON,1944-05-21,11377
457,BARBARA,LOGAN,1968-07-26,11377
458,MARY,BERRY,1990-11-19,11226
459,SANDRA,ALEXANDER,1975-10-12,11226
460,CHRISTINA,ARMSTRONG,1981-11-29,11226
461,TAMMY,CUNNINGHAM,1990-05-23,11226
462,MARTHA,MELTON,1947-07-28,11226
463,DIANA,SALAS,1956-11-29,11227
464,MARY,ROSE,1991-10-01,11226
465,ANGELA,BURTON,1995-01-28,11226
466,KATHRYN,MURPHY,1998-12-22,11226
467,ANGELA,JACKSON,1998-11-26,11226
468,EMILY,ELLIS,1970-01-25,11226
469,GLORIA,DAVIS,1951-02-21,11226
470,RUTH,SNYDER,1988-05-25,11377
471,ANNE,JOHNSON,1956-05-10,11227
472,MILDRED,RODRIGUEZ,1977-10-10,11227
473,KAREN,HILL,1953-04-28,11226
474,CATHERINE,VAUGHN,1991-04-05,11227
475,MARGARET,MENDOZA,1943-04-23,11226
476,DOROTHY,DUNN,1991-05-16,11377
477,MARY,HUGHES,1947-01-19,11109
478,RUTH,JOHNSON,1960-04-30,11226
479,ANNA,COBB,1976-01-09,11377
480,KATHRYN,RIVERA,1974-04-03,11377
481,JANET,WILLIAMS,1973-09-23,11227
482,MARTHA,MURPHY,1999-03-16,11226
483,KATHRYN,GARCIA,1995-09-25,11109
484,SHIRLEY,THOMPSON,1959-03-24,11227
485,ALICE,BARTON,1983-01-09,11226
486,PATRICIA,BUSH,1996-11-24,11109
487,MICHELLE,WILLIAM,1962-01-07,11226
488,LOUISE,GARDNER,1946-02-20,11227
489,MARTHA,COLLINS,1947-02-19,11227
490,ELIZABETH,HORNE,1960-06-28,11227
491,JENNIFER,RODRIGUEZ,1961-05-09,11226
492,HELEN,HILL,1985-03-17,11226
493,NORMA,GRAVES,1977-02-01,11109
494,MARY,LOPEZ,1960-02-17,11226
495,JANICE,MORGAN,1987-06-17,11226
496,DORIS,MANN,1970-11-11,11226
497,JENNIFER,POPE,1943-08-25,11226
498,JENNIFER,CASTILLO,1984-04-18,11226
499,DONNA,DAVIS,1966-07-06,11226
500,KIMBERLY,MURRAY,1975-11-14,11226
501,DIANE,LEWIS,1976-01-21,11109
502,DOROTHY,CLARK,1979-05-26,11226
503,JOYCE,HEWITT,1961-02-22,11226
504,NANCY,MONROE,1973-10-10,11226
505,MARY,MARTINEZ,1980-06-22,11226
506,ANDREA,MASON,1957-05-21,11226
507,RUTH,LEWIS,1992-06-18,11226
508,LOIS,RODGERS,1951-06-06,11377
509,HELEN,CAMPBELL,1987-12-21,11109
510,CAROL,WATSON,1974-05-20,11227
511,ROBIN,ANDERSON,1949-06-13,11227
512,PAMELA,BROWN,1966-03-01,11227
513,BRENDA,LONG,1988-07-01,11227
514,JANE,BROWN,1965-02-10,11226
515,JUDY,WHITE,1947-02-04,11226
516,THERESA,FREEMAN,1949-11-16,11226
517,ANGELA,JAMES,1964-10-20,11227
518,CATHERINE,THOMAS,1954-11-26,11226
519,CHRISTINE,BROWN,1947-07-26,11377
520,DONNA,MCKENZIE,1949-01-26,11226
521,REBECCA,BOYD,1994-01-24,11227
522,DOROTHY,BROWN,1961-06-08,11226
523,LAURA,STONE,1950-10-17,11226
524,LORI,ALEXANDER,1997-01-25,11377
525,LOUISE,COOK,1984-10-29,11109
526,PATRICIA,BATES,1951-02-16,11226
527,LOIS,SANCHEZ,1981-07-11,11227
528,MARILYN,RAMIREZ,1983-06-21,11377
529,CAROL,ROBERTS,1992-03-20,11226
530,LOIS,TUCKER,1995-08-28,11226
531,PHYLLIS,KING,1992-10-25,11227
532,JACQUELINE,MENDOZA,1999-05-20,11226
533,PAMELA,SMITH,1941-07-30,11226
534,SHIRLEY,PALMER,1987-10-16,11226
535,SARAH,WEAVER,1990-03-28,11377
536,DOROTHY,CURTIS,1999-12-23,11109
537,SHARON,RIGGS,1959-02-02,11226
538,CHERYL,HALL,1971-05-19,11377
539,BONNIE,ATKINSON,1976-12-27,11227
540,STEPHANIE,FOSTER,1982-09-03,11226
541,JOAN,STEVENS,1999-11-12,11226
542,ANNA,ORTEGA,1990-10-12,11377
543,ASHLEY,FOSTER,1998-12-22,11226
544,JESSICA,ALLEN,1980-05-30,11226
545,MARIE,ALLEN,1991-09-21,11226
546,PATRICIA,TURNER,1941-06-06,11226
547,KATHRYN,VINCENT,1946-01-15,11227
548,JULIE,BROWN,1948-02-21,11226
549,SUSAN,BENNETT,1996-03-23,11227
550,KELLY,SMITH,1958-03-08,11226
551,KAREN,WOOD,1972-02-28,11226
552,HELEN,PAYNE,1952-06-01,11226
553,CYNTHIA,SMITH,1984-08-15,11227
554,ANNE,MILLER,1942-10-12,11227
555,ANGELA,HANSEN,1950-02-27,11227
556,REBECCA,RANDOLPH,1949-09-14,11227
557,DIANE,JOHNS,1970-10-31,11109
558,LOUISE,MALONE,1953-12-09,11226
559,THERESA,STOKES,1991-03-23,11226
560,DEBRA,BUTLER,1969-11-11,11226
561,MARY,BLACKBURN,1954-09-03,11109
562,JANET,GEORGE,1940-02-10,11227
563,HELEN,MCCULLOUGH,1995-12-07,11227
564,SHARON,JORDAN,1987-02-02,11226
565,BARBARA,CAMPBELL,1975-02-12,11226
566,AMY,COLLINS,1946-03-08,11226
567,EMILY,DICKERSON,1983-02-25,11226
568,BARBARA,TANNER,1984-10-16,11226
569,BETTY,ONEILL,1976-10-12,11109
570,KATHLEEN,GOLDEN,1994-08-20,11227
571,DIANE,HILL,1969-01-20,11226
572,HEATHER,HUGHES,1965-12-05,11377
573,DEBORAH,SMITH,1999-11-14,11109
574,CAROL,STEVENSON,1970-06-22,11226
575,DEBRA,ARNOLD,1968-12-04,11226
576,MARGARET,PHILLIPS,1988-05-20,11227
577,CAROL,SALINAS,1974-07-08,11226
578,LINDA,MEYER,1946-11-08,11226
579,DEBRA,WILSON,1981-11-13,11377
580,NORMA,PADILLA,1982-09-18,11226
581,BETTY,CARTER,1974-09-17,11226
582,SARAH,BECK,1944-08-23,11226
583,SUSAN,GROSS,1984-11-02,11226
584,LISA,HAYNES,1988-06-10,11226
585,IRENE,FORD,1979-08-30,11226
586,EMILY,GUERRA,1965-04-20,11226
587,LINDA,DELGADO,1955-12-10,11226
588,LINDA,MARTINEZ,1971-05-15,11226
