firstname,surname,birthdate,zip_codes
VIRGINIA,JACKSON,8/31/41,11227
DONNA,WILLIAMS,8/19/80,11377
BETTY,PRICE,12/1/71,11226
IRENE,RIVAS,10/4/98,11227
CAROL,BARKER,12/4/48,11226
JANET,WEEKS,12/26/67,11226
NICOLE,BARKER,11/19/91,11226
MARIE,VEGA,10/21/43,11227
LISA,JOHNSON,7/2/74,11226
KELLY,WALKER,9/21/68,11227
DENISE,WOODS,6/18/60,11377
MILDRED,CHAMBERS,5/5/65,11226
JACQUELINE,RUSSELL,12/14/53,11226
STEPHANIE,WILLIAMS,11/30/96,11109
ROSE,WALLACE,12/10/83,11226
JESSICA,DAVIS,10/30/75,11227
CHRISTINA,JONES,9/25/71,11227
MARY,SCOTT,4/16/90,11226
LINDA,KELLY,8/30/83,11226
ANN,WRIGHT,7/5/64,11377
ANNIE,KELLEY,5/3/48,11377
CAROLYN,MARTINEZ,8/1/57,11226
PATRICIA,WEBER,9/2/94,11109
BARBARA,CONNER,6/6/62,11109
MARIE,COHEN,2/26/42,11227
NICOLE,SHEPPARD,10/16/87,11227
SHIRLEY,BROWN,10/9/64,11377
LINDA,GILBERT,12/15/75,11227
CYNTHIA,PATEL,1/18/54,11226
VIRGINIA,EVERETT,1/18/83,11377
MARIA,WILKINSON,7/26/55,11226
CAROLYN,JONES,4/20/87,11377
CHERYL,MATHEWS,6/24/60,11226
LISA,GREEN,3/6/60,11227
PHYLLIS,SMITH,8/6/79,11377
EVELYN,ROTH,9/21/40,11109
DEBORAH,CAMPBELL,10/10/86,11227
NICOLE,HARRIS,9/2/93,11226
LINDA,HODGE,4/21/61,11377
MELISSA,HERNANDEZ,5/22/88,11226
PATRICIA,CARSON,5/7/53,11226
SHARON,WILLIAMS,4/25/55,11377
BARBARA,REYNOLDS,11/6/68,11227
WANDA,RODRIGUEZ,2/3/73,11226
PATRICIA,BAILEY,10/25/81,11226
JOYCE,WHITE,5/6/77,11109
RUTH,HAYDEN,2/6/91,11226
KATHLEEN,BANKS,11/10/62,11226
RACHEL,JOHNSON,7/23/56,11109
JOYCE,RODRIGUEZ,6/21/76,11226
PATRICIA,LARSON,5/23/62,11377
NICOLE,BAILEY,4/5/57,11226
EVELYN,CASTRO,1/19/55,11109
ELIZABETH,BURNETT,10/26/69,11226
GLORIA,MASON,8/25/83,11227
KATHRYN,MILLS,7/22/64,11109
TINA,JAMES,10/20/58,11377
MARY,CLARK,8/19/64,11227
LISA,SMITH,5/20/45,11226
THERESA,SMITH,12/10/41,11226
ASHLEY,HALE,5/3/69,11226
SHIRLEY,OLIVER,5/7/60,11226
REBECCA,TORRES,10/15/76,11226
MARILYN,WILLIAMS,11/7/87,11109
BARBARA,COLLINS,4/15/81,11226
BETTY,BLACK,3/10/77,11109
LISA,LUCAS,8/18/42,11226
WANDA,MATTHEWS,1/28/56,11226
REBECCA,RAMSEY,12/10/44,11226
JENNIFER,BARKER,10/18/95,11226
RUBY,ROWE,1/25/61,11227
RUTH,LOPEZ,7/21/43,11377
KIMBERLY,GRANT,2/25/95,11226
JUDY,MURPHY,5/24/66,11227
JEAN,HOUSTON,8/18/93,11226
LINDA,FLEMING,1/29/77,11227
LISA,TRAN,6/17/45,11227
JULIE,GARRETT,7/23/50,11226
DENISE,OWEN,12/14/50,11226
PATRICIA,MCLEAN,11/10/85,11227
JESSICA,HOPKINS,11/16/60,11226
MARIA,FULLER,5/8/40,11109
RACHEL,SANFORD,1/17/47,11227
HEATHER,WILSON,5/6/75,11227
ROBIN,REEVES,4/9/98,11109
RACHEL,LARA,6/2/59,11377
LISA,BONNER,8/10/49,11227
TAMMY,ROBERTS,1/26/89,11226
JEAN,BISHOP,1/4/72,11226
NICOLE,WEBB,1/17/54,11226
MARY,PIERCE,10/4/53,11226
PATRICIA,SCOTT,1/9/41,11377
JULIE,HOOVER,1/31/80,11109
NANCY,ORTIZ,5/17/70,11226
KAREN,KLEIN,8/12/55,11226
JUDY,COX,12/25/93,11226
ANNE,SHELTON,6/3/95,11377
MARY,KING,2/25/93,11227
ELIZABETH,JENKINS,5/17/50,11226
LINDA,MCCARTHY,8/20/90,11227
STEPHANIE,DORSEY,2/23/55,11226
CHERYL,SMITH,9/16/95,11226
STEPHANIE,BASS,6/6/77,11377
HELEN,SANCHEZ,9/9/95,11226
DONNA,WARE,6/18/89,11226
PAULA,HARRIS,7/17/40,11226
BETTY,WILLIAMS,1/23/67,11377
KATHY,ELLIS,9/13/66,11226
MARIE,NICHOLS,7/1/74,11226
JACQUELINE,GUERRERO,4/2/60,11226
SHIRLEY,MORRISON,11/29/46,11226
MARIA,BUCKNER,3/14/43,11377
ROSE,WILSON,2/14/64,11226
MELISSA,PETERSEN,1/19/64,11109
SUSAN,MEYERS,12/25/46,11226
CATHERINE,SMITH,8/3/45,11226
JUDY,CARSON,3/25/50,11226
DORIS,NICHOLS,10/11/97,11377
KIMBERLY,WISE,3/20/59,11377
MICHELLE,TAYLOR,6/21/43,11226
MELISSA,ANDERSON,9/25/42,11226
CAROLYN,RAMIREZ,8/5/57,11109
REBECCA,WATKINS,6/1/47,11377
ANNIE,FARRELL,8/1/45,11226
JUDITH,BLANKENSHIP,12/12/78,11226
JOAN,REED,7/9/46,11227
SHIRLEY,JOHNSON,3/24/52,11226
DONNA,WILLIAMS,4/26/90,11377
NANCY,FINCH,10/25/43,11226
JULIE,GARCIA,12/21/57,11377
MARY,STEPHENS,12/13/54,11226
DENISE,CRUZ,5/16/67,11226
LOIS,ROBINSON,2/27/73,11226
PATRICIA,JAMES,10/23/99,11226
RUTH,FERGUSON,5/23/78,11227
MARTHA,JONES,4/30/97,11226
HELEN,WILLIAMS,5/17/59,11226
PHYLLIS,VILLARREAL,8/20/71,11377
BRENDA,BRYAN,6/13/78,11377
HELEN,BALL,5/17/57,11226
VIRGINIA,WILSON,7/8/59,11227
MILDRED,LOPEZ,8/18/91,11227
AMANDA,GREENE,9/27/71,11226
MARY,MUELLER,10/18/45,11226
ANNE,MILLER,9/26/99,11227
LINDA,LYNN,11/13/55,11226
CAROL,THOMPSON,10/16/57,11226
ANNA,BURKE,12/8/88,11227
PAMELA,ANDREWS,10/1/78,11227
KAREN,WHEELER,4/21/63,11226
ROBIN,WALL,3/19/91,11226
JANET,MURPHY,2/16/82,11227
BARBARA,WILSON,10/14/68,11226
LAURA,JACKSON,4/8/54,11226
RUTH,GRANT,2/14/87,11226
DONNA,WALSH,3/2/54,11109
LORI,SWEET,4/25/81,11377
ANNE,OSBORNE,2/25/91,11227
LINDA,BAXTER,10/7/87,11226
JANICE,SWANSON,7/19/91,11226
ROBIN,ROBINSON,1/16/93,11227
MARY,SMITH,12/13/73,11377
LILLIAN,SIMPSON,5/24/97,11226
ASHLEY,MOLINA,4/3/96,11109
MARILYN,BURGESS,7/15/79,11226
LOUISE,STOUT,2/17/48,11377
TERESA,ADAMS,11/27/83,11226
RUBY,THORNTON,2/10/85,11226
NANCY,HULL,2/11/72,11226
ANN,WHITE,5/16/70,11227
ANGELA,GOODMAN,6/23/68,11109
JESSICA,DUNLAP,11/14/75,11377
HELEN,PEARSON,12/7/41,11227
LISA,MILLER,5/20/44,11226
SHARON,WHITE,9/9/45,11226
MARY,JOHNSON,10/21/48,11109
DONNA,CASEY,12/15/56,11109
CYNTHIA,MCKNIGHT,2/7/90,11109
NORMA,WEST,3/4/79,11109
ANNE,HAYES,6/19/97,11377
MICHELLE,GIBSON,5/21/44,11377
BARBARA,LOGAN,7/26/68,11377
MARY,BERRY,11/19/90,11226
SANDRA,ALEXANDER,10/12/75,11226
CHRISTINA,ARMSTRONG,11/29/81,11226
TAMMY,CUNNINGHAM,5/23/90,11226
MARTHA,MELTON,7/28/47,11226
DIANA,SALAS,11/29/56,11227
MARY,ROSE,10/1/91,11226
ANGELA,BURTON,1/28/95,11226
KATHRYN,MURPHY,12/22/98,11226
ANGELA,JACKSON,11/26/98,11226
EMILY,ELLIS,1/25/70,11226
GLORIA,DAVIS,2/21/51,11226
RUTH,SNYDER,5/25/88,11377
ANNE,JOHNSON,5/10/56,11227
MILDRED,RODRIGUEZ,10/10/77,11227
KAREN,HILL,4/28/53,11226
CATHERINE,VAUGHN,4/5/91,11227
MARGARET,MENDOZA,4/23/43,11226
DOROTHY,DUNN,5/16/91,11377
MARY,HUGHES,1/19/47,11109
RUTH,JOHNSON,4/30/60,11226
ANNA,COBB,1/9/76,11377
KATHRYN,RIVERA,4/3/74,11377
JANET,WILLIAMS,9/23/73,11227
MARTHA,MURPHY,3/16/99,11226
KATHRYN,GARCIA,9/25/95,11109
SHIRLEY,THOMPSON,3/24/59,11227
ALICE,BARTON,1/9/83,11226
PATRICIA,BUSH,11/24/96,11109
MICHELLE,WILLIAM,1/7/62,11226
LOUISE,GARDNER,2/20/46,11227
MARTHA,COLLINS,2/19/47,11227
ELIZABETH,HORNE,6/28/60,11227
JENNIFER,RODRIGUEZ,5/9/61,11226
HELEN,HILL,3/17/85,11226
NORMA,GRAVES,2/1/77,11109
MARY,LOPEZ,2/17/60,11226
JANICE,MORGAN,6/17/87,11226
DORIS,MANN,11/11/70,11226
JENNIFER,POPE,8/25/43,11226
JENNIFER,CASTILLO,4/18/84,11226
DONNA,DAVIS,7/6/66,11226
KIMBERLY,MURRAY,11/14/75,11226
DIANE,LEWIS,1/21/76,11109
DOROTHY,CLARK,5/26/79,11226
JOYCE,HEWITT,2/22/61,11226
NANCY,MONROE,10/10/73,11226
MARY,MARTINEZ,6/22/80,11226
ANDREA,MASON,5/21/57,11226
RUTH,LEWIS,6/18/92,11226
LOIS,RODGERS,6/6/51,11377
HELEN,CAMPBELL,12/21/87,11109
CAROL,WATSON,5/20/74,11227
ROBIN,ANDERSON,6/13/49,11227
PAMELA,BROWN,3/1/66,11227
BRENDA,LONG,7/1/88,11227
JANE,BROWN,2/10/65,11226
JUDY,WHITE,2/4/47,11226
THERESA,FREEMAN,11/16/49,11226
ANGELA,JAMES,10/20/64,11227
CATHERINE,THOMAS,11/26/54,11226
CHRISTINE,BROWN,7/26/47,11377
DONNA,MCKENZIE,1/26/49,11226
REBECCA,BOYD,1/24/94,11227
DOROTHY,BROWN,6/8/61,11226
LAURA,STONE,10/17/50,11226
LORI,ALEXANDER,1/25/97,11377
LOUISE,COOK,10/29/84,11109
PATRICIA,BATES,2/16/51,11226
LOIS,SANCHEZ,7/11/81,11227
MARILYN,RAMIREZ,6/21/83,11377
CAROL,ROBERTS,3/20/92,11226
LOIS,TUCKER,8/28/95,11226
PHYLLIS,KING,10/25/92,11227
JACQUELINE,MENDOZA,5/20/99,11226
PAMELA,SMITH,7/30/41,11226
SHIRLEY,PALMER,10/16/87,11226
SARAH,WEAVER,3/28/90,11377
DOROTHY,CURTIS,12/23/99,11109
SHARON,RIGGS,2/2/59,11226
CHERYL,HALL,5/19/71,11377
BONNIE,ATKINSON,12/27/76,11227
STEPHANIE,FOSTER,9/3/82,11226
JOAN,STEVENS,11/12/99,11226
ANNA,ORTEGA,10/12/90,11377
ASHLEY,FOSTER,12/22/98,11226
JESSICA,ALLEN,5/30/80,11226
MARIE,ALLEN,9/21/91,11226
PATRICIA,TURNER,6/6/41,11226
KATHRYN,VINCENT,1/15/46,11227
JULIE,BROWN,2/21/48,11226
SUSAN,BENNETT,3/23/96,11227
KELLY,SMITH,3/8/58,11226
KAREN,WOOD,2/28/72,11226
HELEN,PAYNE,6/1/52,11226
CYNTHIA,SMITH,8/15/84,11227
ANNE,MILLER,10/12/42,11227
ANGELA,HANSEN,2/27/50,11227
REBECCA,RANDOLPH,9/14/49,11227
DIANE,JOHNS,10/31/70,11109
LOUISE,MALONE,12/9/53,11226
THERESA,STOKES,3/23/91,11226
DEBRA,BUTLER,11/11/69,11226
MARY,BLACKBURN,9/3/54,11109
JANET,GEORGE,2/10/40,11227
HELEN,MCCULLOUGH,12/7/95,11227
SHARON,JORDAN,2/2/87,11226
BARBARA,CAMPBELL,2/12/75,11226
AMY,COLLINS,3/8/46,11226
EMILY,DICKERSON,2/25/83,11226
BARBARA,TANNER,10/16/84,11226
BETTY,ONEILL,10/12/76,11109
KATHLEEN,GOLDEN,8/20/94,11227
DIANE,HILL,1/20/69,11226
HEATHER,HUGHES,12/5/65,11377
DEBORAH,SMITH,11/14/99,11109
CAROL,STEVENSON,6/22/70,11226
DEBRA,ARNOLD,12/4/68,11226
MARGARET,PHILLIPS,5/20/88,11227
CAROL,SALINAS,7/8/74,11226
LINDA,MEYER,11/8/46,11226
DEBRA,WILSON,11/13/81,11377
NORMA,PADILLA,9/18/82,11226
BETTY,CARTER,9/17/74,11226
SARAH,BECK,8/23/44,11226
SUSAN,GROSS,11/2/84,11226
LISA,HAYNES,6/10/88,11226
IRENE,FORD,8/30/79,11226
EMILY,GUERRA,4/20/65,11226
LINDA,DELGADO,12/10/55,11226
LINDA,MARTINEZ,5/15/71,11226
DOROTHY,JACKSON,5/2/93,11227
CYNTHIA,WEBB,4/12/41,11226
DOROTHY,BURNS,10/8/74,11109
RUBY,SPENCER,2/17/65,11109
DONNA,HARRISON,9/20/54,11227
JENNIFER,TAYLOR,6/5/85,11226
MELISSA,WHITE,5/7/72,11227
JEAN,ALLEN,9/10/85,11226
AMY,LOVE,8/11/40,11226
RACHEL,FIGUEROA,2/12/87,11377
BETTY,MORSE,9/27/93,11227
PAULA,BEACH,6/29/41,11226
DONNA,ROBERTSON,11/21/90,11226
KATHY,BROWN,3/10/46,11227
PATRICIA,MILLER,2/5/55,11226
ANN,ANDREWS,4/15/50,11226
SANDRA,THOMPSON,11/22/56,11226
SUSAN,NELSON,4/6/55,11226
BEVERLY,LUNA,3/14/84,11226
RUTH,REYNOLDS,3/22/81,11226
BETTY,HOLDEN,11/6/56,11109
SHARON,SMITH,4/4/95,11377
TAMMY,JAMES,9/3/47,11227
ELIZABETH,MORRIS,1/30/94,11226
REBECCA,HARVEY,10/20/80,11227
KELLY,BAUER,9/10/41,11226
MARILYN,TAYLOR,4/5/52,11226
MARY,PAYNE,1/25/78,11226
KIMBERLY,WHITE,7/29/98,11226
LISA,GILBERT,5/2/46,11226
MARIA,ROBERTS,9/12/72,11109
PATRICIA,GARCIA,11/24/65,11227
REBECCA,REEVES,12/29/97,11226
MARY,GOLDEN,12/25/52,11226
ELIZABETH,BROWN,6/6/53,11109
KATHRYN,BROWN,12/11/94,11109
SUSAN,BAKER,9/9/50,11226
BRENDA,MCCARTHY,10/12/97,11226
BARBARA,MULLINS,2/19/65,11226
DEBORAH,HOUSE,11/9/91,11109
MELISSA,PERRY,1/29/73,11226
SARA,ROGERS,8/20/88,11226
ASHLEY,JENKINS,2/11/62,11226
DEBRA,ORTIZ,10/27/53,11377
CHRISTINE,TURNER,2/19/60,11227
ANNA,ANDERSON,12/22/55,11226
JESSICA,BROWN,2/28/54,11226
ANGELA,BLACK,7/13/48,11109
MARY,ALVAREZ,9/16/46,11227
JANICE,ANDREWS,3/4/99,11226
JANE,DAVIS,11/15/79,11227
LISA,CROSBY,1/25/79,11226
JUDY,OLSON,11/8/42,11226
ELIZABETH,ALLEN,7/1/54,11226
DOROTHY,HUFF,12/29/87,11226
FRANCES,BROWN,3/4/43,11227
MARIE,BOND,12/23/84,11109
MARIA,MOORE,10/9/76,11109
NANCY,ROSALES,7/7/91,11226
JANET,RUSH,10/6/81,11226
DIANA,HILL,2/9/48,11226
VIRGINIA,RICHARDS,11/30/46,11226
ELIZABETH,WALKER,10/22/88,11226
JENNIFER,HULL,7/22/87,11377
MARY,MCINTYRE,9/1/53,11226
REBECCA,WARD,10/17/82,11227
MARY,MARTIN,7/29/63,11226
GLORIA,MORIN,3/27/61,11226
KAREN,MOORE,2/27/48,11226
EMILY,DOTSON,1/27/63,11226
LINDA,HERRING,7/8/44,11109
CAROLYN,WILLIAMS,3/2/96,11109
MICHELLE,JORDAN,2/4/88,11227
DEBORAH,HOPKINS,3/9/61,11227
BARBARA,WADE,9/6/84,11377
PATRICIA,CASTRO,3/21/86,11109
KATHY,NEAL,9/1/60,11226
KAREN,TURNER,12/26/55,11226
MARIA,BARNETT,3/18/72,11226
SHIRLEY,RAMOS,11/17/91,11227
HELEN,VINCENT,2/15/84,11109
MARTHA,FOSTER,10/3/71,11109
DEBRA,HESS,11/10/55,11109
PAMELA,ALVARADO,5/6/48,11226
LINDA,MARTINEZ,4/10/92,11226
ANDREA,WILSON,10/12/93,11226
