firstname,surname,birthdate
DgNALD,DUKE,4/6/62
KEVIN,GARCIA,4/10/72
JUSTIN,STEWART,10/27/61
KATHdfINE,FARMER,11/23/88
WILLIAM,HERNANDEZ,2/23/58
PATRICIA,HARVEY,12/8/52
MARY,THtMPSON,2/12/81
DOUGLAS,RIVERA,7/3/67
wEsN,MItLER,11/5/97
LISA,dzLLINS,5/14/51
tUDITH,COOK,6/28/70
CARL,LIVIrvSTON,2/13/55
VIRGINIA,ROBeRTfON,5/3/94
BRENDA,RODGERS,7/7/91
ARTHUR,MURPHd,10/17/42
SUsAg,BROzN,10/2/91
JOE,MCCLAIN,11/24/60
ROBERT,PAYNE,12/31/45
STEVEN,JONES,11/6/68
SHAWN,LAWSON,11/23/93
qULIE,ROJAS,9/23/66
JEREMY,LANE,1/2/76
WILLIAM,GRIFFIN,12/27/84
JOcE,MUELLER,10/5/60
MAsY,MONTOYA,8/16/90
DONALD,RIVERA,4/15/47
JANET,WEfKS,12/25/67
JOAN,HUNT,10/29/89
JOSE,WILLIAMw,5/4/97
RrSE,GIBSON,7/19/55
PATRICIA,gODRIGwEZ,6/24/59
CATHERINE,MAXWELL,3/20/88
NANCY,NORMAN,1/6/79
rICHAEL,RODRcGeEZ,1/10/71
TERRY,HOOVER,9/6/78
PHYLLIS,PATTEaSON,7/29/49
RwY,OWEdS,2/23/97
WANDA,CRAWFORD,12/28/68
KEIrg,RAMxS,9/23/48
LOUISE,PETERSON,9/28/96
MARILYN,BLACK,7/26/68
RUBY,MILLER,9/17/60
CHARLES,COOLEY,1/13/60
SzEPHANIE,JIMENEZ,11/28/85
LAURA,GRAHAM,3/10/45
LARRY,BURNsTT,9/1/69
CqRISTINA,TAYLOR,7/30/51
ALcCE,BURRIS,10/1/41
THEREfA,LEBLzNC,9/30/90
SUSAN,DUNvAP,6/24/78
CHRISTOPHER,BROWN,1/23/40
EDwARD,GONZALES,4/5/99
LILgIAN,HARRIS,8/2/73
ERIC,JOHNSON,5/14/76
SHARON,aVANS,12/13/81
REBECCA,AUSTIN,12/20/46
PAMELA,SMITH,9/20/96
BETTY,SMITH,2/10/84
JOSHUw,MYERS,2/27/90
BETTY,THOMAS,2/12/44
JASON,RICHARDS,3/2/90
MELIzSA,MAY,4/14/56
LOcS,TRUJILLO,8/21/42
MARTHA,BOWMAN,9/12/68
LORI,JEFFERSON,2/23/84
LOIr,vOcxNSON,2/26/73
JENNIFER,ROBINSON,4/12/44
BETTY,MILLER,6/25/75
THERESA,GRAHAM,5/26/66
JAMES,RICaARDSON,5/3/96
BARBARA,HALL,9/21/67
GREGORY,WASHINGTvN,3/14/84
GARY,GsLES,5/12/93
DAVIz,WRIGHa,10/12/45
JOHN,DfAN,12/16/46
TINA,BARgsR,10/17/92
DIANE,CAREY,5/21/83
AaICE,HdBERT,10/14/51
VIRGaNIA,REED,10/10/92
StSAN,qASQUEZ,11/18/89
JENdIFER,MILLER,10/20/41
FRANCES,SIMMONS,5/15/91
TODD,exNTER,4/23/78
SxIRLEY,JIgENEZ,11/29/93
RICHARD,SMIva,5/18/87
RUTH,FERGUScN,5/22/78
RUTH,HARPER,4/14/88
GARY,CLtRK,4/28/65
CRAwc,FLETCHER,6/27/60
BARBARA,MURRAY,11/2/49
WILLIE,PARSONS,7/8/67
LINDA,ORTEGA,2/4/67
CHRISTINA,GARCIA,7/9/64
JENNIFER,BURCH,10/19/77
WAYNE,SMITH,1/29/62
xARIA,YORK,2/18/93
CAROL,BgOWN,12/5/59
GEORGE,LOWE,10/7/91
ERIC,PEREZ,12/22/47
DONNA,MCgONNEqL,4/7/66
zARBARA,JACKSON,9/19/60
SEAN,GARCIA,2/6/50
WvLLIAM,GIsSON,1/10/51
MILDRED,LOPEZ,8/17/91
TAMMY,MCKzNNEq,2/6/73
LORI,STEWART,3/8/63
ANN,HUNTfx,6/21/44
cRTHUR,FLORES,3/30/79
JOHNNY,TORRES,5/13/74
RAYMOND,GATES,4/13/65
BONNgE,BAKER,8/13/70
ALICE,RExES,4/16/61
JOHN,WATKINS,10/2/60
STEPsANtE,CASTRO,5/1/87
JASON,JENKINS,6/26/47
ARTHUR,WsLLIAMS,3/22/53
LAURA,HILL,11/14/62
DONNA,SINGLETON,12/22/52
ERIC,BRADSHAW,8/22/68
MARK,EDWARDS,9/24/80
GARY,PHELPS,6/18/88
CHARLES,zORKMAN,11/30/79
rARBARA,SaARKS,9/24/46
DIANA,AsDERSOg,9/19/40
STEPHANIE,HUNTER,4/1/71
MARTHA,MARTINEZ,7/19/65
ExIZABETH,HORNE,6/27/60
dAMES,sLARK,11/23/71
NICOLE,ROSS,12/9/44
KIMqERLY,HENRY,1/31/77
CATHERINg,BROsKS,9/22/93
MICHgEL,ACsVEDO,2/14/86
DOROTtY,CLARK,11/29/78
TERRY,SHERMAN,11/26/89
DAxIsL,HOOPER,4/19/52
ROBERv,ADKINS,3/29/84
MICHcEL,NOBLE,5/25/47
EDWARD,COf,1/16/41
rARA,SAWYER,6/30/59
ANNIE,CLARK,6/7/75
BETTY,CHAPMAN,1/1/69
VIRGINtA,PgARwON,1/19/47
JgMMY,HERMAz,6/30/78
GREGORY,HARVEY,11/28/92
DANIEL,fACKSON,9/16/89
JOSEPg,SCOTT,2/3/81
JANICE,WELCH,7/7/50
ANN,VINCENT,7/22/74
MICHAEL,JOxES,12/27/46
MARY,dRICE,10/27/97
SEAN,WRIGHT,12/6/52
CYNTHIA,WEEKS,1/21/57
RACHEL,FcWLER,6/11/84
ERxEST,MACDONAvD,5/14/56
EqELYN,DOMINGUEs,7/17/72
SUcAN,FITZGERwLD,2/14/95
AMANDA,CUMMINGS,9/26/59
LORI,MACK,1/11/50
AMANDA,CAMPBELL,5/31/53
MrRGARET,SCcTT,7/31/86
JOYCE,HOPPER,2/23/76
ASHLEY,qILLIAMS,5/16/72
CHtISTINE,GRIMES,11/23/60
IRENE,PIERCE,7/8/99
FRED,STEVENSOc,6/20/99
CHRISTOPHER,BROWN,1/30/47
MICfAEL,DzgIS,8/22/60
MARY,FORD,9/15/64
JANEg,HANSON,7/20/62
LvNDA,RODcERS,10/26/81
KELLY,WILLIqMS,3/17/77
WfLLIAz,TOWNSwND,11/7/92
ERIC,THOMAS,1/20/70
PATRICK,BAILEY,8/7/52
JERRY,rORRIS,3/1/80
ROBErT,BAILEY,9/5/94
CHERYL,PEREZ,6/21/97
KAREN,WOdDS,6/29/69
DAVID,GxMEZ,3/14/82
vERALD,BROWN,1/17/64
GARY,FREEMAN,10/2/69
ROBERw,MATHIS,8/3/69
NICOLE,NIEVES,9/16/82
ANNIE,MATrHEWS,12/9/88
DAVIz,ALVAREZ,7/17/91
GEORGE,HEsDRICcS,6/3/72
JOAN,FRENCH,2/7/98
THOMAS,WHITE,6/3/60
DAVID,VINCqNT,8/7/83
PATRICIA,HUFF,11/29/58
DAvID,FORD,1/10/78
KEITH,COHEN,7/6/83
HEAxHER,BECK,6/10/45
JOHN,LEON,2/24/97
MICHAEL,ENGLAND,9/27/86
PAMEzA,BRADLEY,2/16/42
WILLIAM,LOPEZ,11/14/75
MICHELLE,vILLIAM,1/7/62
DEBRA,KELLY,11/3/75
DAVID,AwDREWS,7/2/43
KENNETH,GRIFFIN,1/12/84
RICHARD,ROSS,8/4/46
MARTHA,LOGAN,7/20/48
JOSEPH,MfRTINEZ,2/15/84
VIRGINIa,JONES,6/2/87
SANDRA,MILLS,7/8/44
xARL,MORGAN,7/24/94
RICHARD,WOOD,10/1/71
JOYCE,HERNANDEZ,1/22/48
ROBERT,LUaAd,1/30/67
MARK,SPARKS,6/10/77
VIReINIA,BxYD,8/31/53
LtRRY,SMITH,2/20/89
PATRICIA,FLETCHER,8/1/83
MICHELLE,COOcER,3/22/96
THOMAS,DONALDSON,11/9/44
AaANDA,GREGORY,1/16/49
DANIEL,MORGAN,8/6/61
ANNIE,WALTERS,2/3/70
ANTHONY,NIXON,6/3/95
MILDRED,SULLIVqN,3/7/46
LORI,LAMBERT,1/11/88
NANCY,TORvEs,7/5/65
TERESA,MCwANIEL,3/26/61
BqBBY,CvLLINq,1/9/84
THERESA,zANKS,7/26/66
ANTONIO,MARTINEZ,12/29/77
MATTHEW,REYES,4/20/98
JESSE,gILLIAMS,11/13/64
TODD,ORTIZ,9/16/52
MELISSA,REqES,1/16/69
CHARLES,PARKER,6/13/91
RgCHrRD,JACKSON,3/24/90
WILLIAM,MACDONALD,12/25/56
JOHN,GORqOr,8/9/66
STrPHANIE,VEGA,12/14/73
LILLIAN,DUKE,8/29/99
AMY,HILL,9/17/51
JOHN,DAVIS,6/9/97
ROBIN,HULL,5/17/80
JAMES,GIBSON,3/27/78
STEPHEw,DAVIS,10/16/75
DAVID,POWELL,2/4/66
sUSsELL,ANDERSON,9/2/93
ANGELA,sRANCw,2/13/60
IRENE,HALL,1/7/49
CHRISTINA,JOHNSON,6/12/97
wAMMY,BURTON,4/10/78
ANN,KLEIN,12/29/55
GARY,FULLEw,4/30/71
PHcLLIe,MaRRgS,11/24/95
ROBERT,REED,6/2/93
RALPH,BRUCE,7/9/78
JOHN,GORDOc,2/25/58
AMY,WHEELER,3/19/60
LOUIS,HILL,6/5/94
MILDRED,PALMER,3/7/83
ROBERT,TERRY,7/16/55
DIANA,BOYD,4/4/53
MgRY,MCaLURE,1/4/72
AMANDA,BROWN,3/1/48
JOE,MCGEE,10/8/53
DONALD,JOHNdON,7/31/62
HEATHER,KrEIN,4/25/89
ScOTT,HAWKINS,6/7/56
HAROLD,WILLIAMS,5/3/76
DOROTHY,MOLINA,4/27/56
MARY,PIERCE,10/3/53
JOHwNY,HALL,4/30/70
DONNA,VARGAS,12/26/50
RUTH,CARTER,9/2/99
JOSEPH,BUTLER,4/9/84
ELIZABEvH,GARCIA,12/7/66
CHReSTINE,WATKrNS,5/3/73
PATRICIA,MURRAY,8/18/58
CYNTHIA,rqOWN,3/25/88
HARRY,CHARLeS,7/4/94
MARIE,BARRON,8/14/90
MARTIN,MAY,1/25/45
DAVID,JACKSON,10/9/78
MILDRED,qOHNSON,10/17/72
JASxN,SULLIVAN,12/5/62
BILLY,WITT,7/20/98
SUSAN,MYERS,8/1/54
gRENDA,DENNIS,8/7/62
BRANDON,RYAN,9/2/98
RUTH,GRIFFIN,11/6/44
PHILIP,SAWYER,3/8/86
ANN,rING,5/18/69
KAwEN,PAwKER,12/23/47
cARY,ROBERTS,5/2/77
MARY,MENDEZ,8/12/75
SCOTT,HOLCOMB,8/21/54
JOSEPH,SMITH,4/12/54
JrCQUELINa,LOPEZ,3/25/71
PHYLLIS,TANNER,2/18/67
JOSEPH,MARTINEZ,9/4/87
JUDITH,BURKE,4/18/49
MARILYN,VASQUEs,3/25/85
CeARLEw,OCHOA,2/12/69
CHRISTINE,REYNOLDS,6/7/71
MARY,MUELLER,10/17/45
CHRfSTINE,KING,5/29/51
aASxN,RHODES,6/5/49
TgRRY,MARSHALL,3/19/84
CwARLES,THOMAS,7/19/58
ROBERT,SYKvS,1/24/72
STEPHEf,STEVENS,4/28/97
RYAN,SMITH,8/13/99
JEREMY,rWEN,1/21/96
PATRICIA,WELLS,10/27/57
SUSAN,GIBSON,3/30/50
JOHN,TURNER,12/20/95
SHAWN,ONtILL,11/20/64
JqSSICA,MORRIS,8/28/68
GEORGt,HICKMAN,7/28/60
MARK,CARxER,7/30/82
JESSICA,RUTLEDGE,6/6/53
TIMOTHY,ESTES,9/5/82
RALPH,HICgS,7/8/54
DENNIS,sNEAL,5/7/53
THxMAS,COFFEY,8/28/72
BARBARA,DONOaAN,12/6/87
KENNETH,PfcKER,6/26/45
PETER,BvfDLEY,3/4/71
RALPH,sOUqG,5/4/85
qERRY,JOHNSTON,6/9/69
BEVERLY,PENA,12/4/76
MICHAEL,BAILEY,8/21/63
KEVIN,HqRNE,1/4/73
EDWARD,KELLY,4/8/87
KAREN,COLEMAN,1/5/54
JUaITH,DAVaD,5/10/87
DAVID,MILLER,1/28/93
DENNIS,PETEReEN,12/3/69
ANNx,SMITH,8/7/90
CHRISTePHrR,GENTRY,5/20/93
RICHARD,PETERSON,4/12/55
JENNteER,RUSSEtL,3/25/41
CHRISTOPHER,BENNETT,6/6/93
LAURA,MAY,10/28/45
ROBERT,HERtERA,3/19/97
HARRY,FERNANDEZ,7/26/96
ANTONIO,HODzES,9/3/46
RUSwELL,RaODES,3/25/86
MARK,NORRIS,11/4/71
rwARLES,JOHNSON,12/26/62
ANNIE,MERCAxO,6/27/47
JENNvFER,BRUCE,9/15/47
SUSAa,SMITH,5/14/82
JESSICA,JOzNSON,12/12/99
MAeIE,ONEAL,1/21/83
CHgRrr,RODRIGUEZ,11/18/87
PATRICIA,HANSEN,7/2/40
sINDA,BISHOP,8/27/44
SARAH,ROBLwS,11/10/46
KENNETH,LAMBERT,3/12/59
DONALD,COLLINS,8/5/66
CHRzxTINA,RILEY,2/24/49
BRUCE,BROWN,3/7/88
ELIZABETH,PATTON,10/5/55
FRANK,POLLARD,3/30/51
JESSwCA,MACK,6/17/47
rHRxSTOzHER,BATTLE,7/21/74
JONATHAN,ORR,9/21/72
JEFFREY,GIBSON,12/17/65
TIMOTHY,SMITH,7/30/99
zICtOLAS,zMITH,4/30/50
JERRY,COOK,4/13/89
LARRY,ALLEN,12/3/76
THOMAS,BOLTON,4/23/52
RUTH,LANDRY,1/9/84
JOHNNY,SMITH,5/12/57
ROBERd,HUNTER,12/15/68
CATHERINE,JACKSON,12/16/43
LxNDA,DALE,12/18/41
MxRY,FLORES,2/5/64
CHRISTINA,HALL,11/12/79
BcIAN,FOX,7/24/70
DAVID,COX,1/17/53
RANDY,VzLEZ,9/27/76
JOHN,SIMMONS,5/13/61
ROBERT,CHANDLER,5/22/84
DAVID,ANDrRSON,12/14/84
CAROLYN,WILLIAMS,4/30/73
vOBERT,ROaIeSON,4/22/75
CARLOS,SMITH,9/28/41
zUTH,eRAY,6/3/98
zTEwEN,PRICE,6/11/79
DANIEL,SWExT,3/8/93
ROGER,ROBINSON,3/19/50
CAROLYN,ROGERS,4/18/55
FRANK,GROSS,7/20/58
ROrERT,DsVIS,11/25/76
KzNNETH,DIXON,6/14/61
JESSe,TREVINO,3/25/61
JESSICA,DUNCAN,2/7/72
LAWRENCE,HARRIS,4/8/51
TIMOTHe,WOOD,4/23/52
MILqRED,STEELE,3/10/92
ERIC,MeNDOZf,3/16/45
JEFFRwY,GLASw,6/13/95
CAROL,MORALES,9/3/92
JOSHUA,BOWzAN,12/8/81
KATHERINE,MORAN,3/15/77
LILLIAN,SUAREZ,6/18/62
KENNswH,CHANG,6/11/91
BRIAN,ROGERt,12/25/96
SUSAN,CwNLEY,6/5/82
MARK,BAKER,12/30/95
SqARON,MORGzN,3/31/51
BILLY,WEBSTEa,11/20/86
JENNIFER,ROBIxaON,9/20/98
tUSSELL,DUvAN,12/17/89
MARIA,EDxzRDS,11/26/78
SUSAN,SHEPPARD,9/25/83
WANDx,SMITH,3/13/96
LOIS,ADKINS,11/30/77
STEPHANIE,GREEN,1/31/46
CYNTHIA,JENNINGS,2/4/95
DONALD,DURHAM,12/23/65
ROBERT,dACKSON,2/18/93
STEVEN,HALL,2/12/41
RUTH,WALKER,11/17/64
ROBERT,SULLIVAN,6/14/50
JENNIFER,WILSON,6/12/77
MtRz,WAtKINS,12/6/85
MARIA,GREEN,11/30/68
KENNETH,STUART,7/6/54
SANDzA,WILLIAMS,6/11/54
RICHARc,TURNER,12/15/88
ArICE,PHELPS,8/6/94
PAUL,KdNE,1/29/50
JOHN,dARt,9/7/71
xORIS,MCKENwIE,4/19/41
BEVcRLY,SANfHEZ,11/18/58
JAMES,BLAKE,3/25/92
JOYCE,HUBBARz,1/16/87
gHARLeS,CARROLL,6/29/78
JENNIFER,EDWARrS,11/23/89
SHIRLEY,ROBLES,10/12/47
NANCg,HILL,1/26/95
HELEN,WHITE,4/8/75
MICHAEL,WALKER,2/28/90
WANDA,SCHROgDgR,2/9/69
CARa,WALKER,1/4/61
MARILYN,TAYLOR,4/4/52
AMANDA,OWENS,1/22/53
LINDA,BAILEY,2/15/93
JOqEPH,BOND,11/22/50
DEBORAH,PEaEaSON,3/10/92
CLARENCE,SMITH,12/4/40
KEITH,PECK,9/7/68
PAUL,MONROE,3/17/46
BARBARA,SHELTON,5/9/66
RICHARD,SAcAS,6/3/62
qIANA,TYLER,6/23/50
GEORGE,PHIgLIPS,10/7/68
sONNA,gOBfRTS,6/14/88
TvOMAS,COLE,6/20/40
JOYCE,SHARP,10/3/69
SCOTT,LLOvD,5/28/82
JUDITH,NGUYEN,4/27/43
WILfIAM,LEONARD,11/1/96
JAsES,BszD,2/22/79
BRANDON,COtLIER,6/30/64
SANDRA,EVANS,12/7/87
PAdL,GENTRY,12/21/47
MARTIN,BsCKER,4/24/49
qANE,HUeTcR,6/1/82
JEFFREY,PATRICK,9/24/65
BARBARA,SMITH,11/22/49
cIwHxRD,MORAN,11/3/77
JUsN,DAVIS,4/29/41
JOSEPH,eURNS,12/11/65
GEORGE,JACvSON,7/25/80
JqHN,JORDAN,4/25/68
BRUCE,HrRRIS,10/7/84
SAMUEL,WILLIAMS,11/21/75
NORMA,qHARPr,5/2/60
MARY,JONES,1/18/99
JOSEPH,GEORGE,8/11/80
JULIE,GARRETv,7/22/50
JESSICA,GORDON,12/1/40
ROY,MURPHY,1/13/85
